key_index,variant,rounds,difference,samples,distinct_output_differences,max_multiplicity,collision_pairs,max_observed_probability,mean_output_difference_weight
1,rotor,8,two_byte_weight2,10000,10000,1,0,0.0001,57.4905
1,round_only,8,two_byte_weight2,10000,10000,1,0,0.0001,57.3581
1,position_only,8,two_byte_weight2,10000,10000,1,0,0.0001,57.5445
1,static,8,four_byte_weight4,10000,10000,1,0,0.0001,63.8572
1,rotor,8,four_byte_weight4,10000,10000,1,0,0.0001,63.8919
1,round_only,8,four_byte_weight4,10000,10000,1,0,0.0001,63.7967
1,position_only,8,four_byte_weight4,10000,10000,1,0,0.0001,63.9065
1,static,12,single_bit_0,10000,10000,1,0,0.0001,63.6156
1,rotor,12,single_bit_0,10000,10000,1,0,0.0001,63.6372
1,round_only,12,single_bit_0,10000,10000,1,0,0.0001,63.6167
1,position_only,12,single_bit_0,10000,10000,1,0,0.0001,63.7832
1,static,12,single_bit_19,10000,10000,1,0,0.0001,63.2551
1,rotor,12,single_bit_19,10000,10000,1,0,0.0001,63.4917
1,round_only,12,single_bit_19,10000,10000,1,0,0.0001,63.4027
1,position_only,12,single_bit_19,10000,10000,1,0,0.0001,63.4008
1,static,12,single_bit_44,10000,10000,1,0,0.0001,63.5395
1,rotor,12,single_bit_44,10000,10000,1,0,0.0001,63.5441
1,round_only,12,single_bit_44,10000,10000,1,0,0.0001,63.5445
1,position_only,12,single_bit_44,10000,10000,1,0,0.0001,63.3871
1,static,12,single_bit_68,10000,10000,1,0,0.0001,63.6192
1,rotor,12,single_bit_68,10000,10000,1,0,0.0001,63.4792
1,round_only,12,single_bit_68,10000,10000,1,0,0.0001,63.5794
1,position_only,12,single_bit_68,10000,10000,1,0,0.0001,63.4228
1,static,12,single_bit_93,10000,10000,1,0,0.0001,63.6275
1,rotor,12,single_bit_93,10000,10000,1,0,0.0001,63.6791
1,round_only,12,single_bit_93,10000,10000,1,0,0.0001,63.5771
1,position_only,12,single_bit_93,10000,10000,1,0,0.0001,63.6223
1,static,12,single_bit_127,10000,10000,1,0,0.0001,63.6498
1,rotor,12,single_bit_127,10000,10000,1,0,0.0001,63.6296
1,round_only,12,single_bit_127,10000,10000,1,0,0.0001,63.6556
1,position_only,12,single_bit_127,10000,10000,1,0,0.0001,63.6407
1,static,12,full_byte_0,10000,10000,1,0,0.0001,63.8333
1,rotor,12,full_byte_0,10000,10000,1,0,0.0001,63.8167
1,round_only,12,full_byte_0,10000,10000,1,0,0.0001,63.7543
1,position_only,12,full_byte_0,10000,10000,1,0,0.0001,63.8137
1,static,12,full_byte_5,10000,10000,1,0,0.0001,63.9141
1,rotor,12,full_byte_5,10000,10000,1,0,0.0001,63.9954
1,round_only,12,full_byte_5,10000,10000,1,0,0.0001,64.0674
1,position_only,12,full_byte_5,10000,10000,1,0,0.0001,63.9429
1,static,12,full_byte_10,10000,10000,1,0,0.0001,63.8936
1,rotor,12,full_byte_10,10000,10000,1,0,0.0001,63.8602
1,round_only,12,full_byte_10,10000,10000,1,0,0.0001,63.9562
1,position_only,12,full_byte_10,10000,10000,1,0,0.0001,63.9879
1,static,12,full_byte_15,10000,10000,1,0,0.0001,63.9679
1,rotor,12,full_byte_15,10000,10000,1,0,0.0001,63.9102
1,round_only,12,full_byte_15,10000,10000,1,0,0.0001,64.004
1,position_only,12,full_byte_15,10000,10000,1,0,0.0001,63.8959
1,static,12,two_byte_weight2,10000,10000,1,0,0.0001,63.7315
1,rotor,12,two_byte_weight2,10000,10000,1,0,0.0001,63.712
1,round_only,12,two_byte_weight2,10000,10000,1,0,0.0001,63.7266
1,position_only,12,two_byte_weight2,10000,10000,1,0,0.0001,63.6853
1,static,12,four_byte_weight4,10000,10000,1,0,0.0001,64.093
1,rotor,12,four_byte_weight4,10000,10000,1,0,0.0001,63.9744
1,round_only,12,four_byte_weight4,10000,10000,1,0,0.0001,63.9269
1,position_only,12,four_byte_weight4,10000,10000,1,0,0.0001,64.0264
1,static,16,single_bit_0,10000,10000,1,0,0.0001,63.9292
1,rotor,16,single_bit_0,10000,10000,1,0,0.0001,64.0287
1,round_only,16,single_bit_0,10000,10000,1,0,0.0001,63.932
1,position_only,16,single_bit_0,10000,10000,1,0,0.0001,64.0193
1,static,16,single_bit_19,10000,10000,1,0,0.0001,63.9804
