context_index,variant,rounds,max_weight1_class_probability,max_weight1_class_log2_probability,max_weight1_class_start_bit,max_single_trail_probability,max_single_trail_log2_probability,class_minus_single_gap_bits,finite_4_16_decay_bits_per_round
150,static,8,2.2626067686104534e-12,-38.685151266492,120,1.1102230246251565e-16,-53.000000000000,14.314848733508,4.968488888726
150,static,12,2.3127538242100478e-18,-58.585093998199,101,8.2718061255302767e-25,-80.000000000000,21.414906001801,4.968488888726
150,static,16,2.2053016416382531e-24,-78.585298275876,101,6.1629758220391547e-33,-107.000000000000,28.414701724124,4.968488888726
150,position_only,4,2.1569430828094482e-06,-18.822580462011,64,1.4901161193847656e-08,-26.000000000000,7.177419537989,4.963886765578
150,position_only,8,2.1605633948595937e-12,-38.751729575803,11,1.1102230246251565e-16,-53.000000000000,14.248270424197,4.963886765578
150,position_only,12,2.3596236871748923e-18,-58.556148911070,11,1.6543612251060553e-24,-79.000000000000,20.443851088930,4.963886765578
150,position_only,16,2.496678494545488e-24,-78.406264224628,11,6.1629758220391547e-33,-107.000000000000,28.593735775372,4.963886765578
150,rotor,4,2.5033950805664062e-06,-18.607682577221,11,1.4901161193847656e-08,-26.000000000000,7.392317422779,5.025076683452
150,rotor,8,2.0660556598883772e-12,-38.816258017474,11,1.1102230246251565e-16,-53.000000000000,14.183741982526,5.025076683452
150,rotor,12,1.9610502762326075e-18,-58.823079185017,11,1.6543612251060553e-24,-79.000000000000,20.176920814983,5.025076683452
150,rotor,16,1.7248963154482023e-24,-78.939764634064,11,1.2325951644078309e-32,-106.000000000000,27.060235365936,5.025076683452
150,round_only,4,2.5480985641479492e-06,-18.582147485114,11,1.4901161193847656e-08,-26.000000000000,7.417852514886,5.014283394804
150,round_only,8,2.2842006064394127e-12,-38.671447779889,11,2.2204460492503131e-16,-52.000000000000,13.328552220111,5.014283394804
150,round_only,12,2.1671877690850965e-18,-58.678881551407,11,1.6543612251060553e-24,-79.000000000000,20.321118448593,5.014283394804
150,round_only,16,1.940138240062537e-24,-78.770114825324,11,1.2325951644078309e-32,-106.000000000000,27.229885174676,5.014283394804
151,static,4,2.4922192096710205e-06,-18.614137599359,95,1.4901161193847656e-08,-26.000000000000,7.385862400641,5.032739018847
151,static,8,1.9810819651411293e-12,-38.876848567226,95,2.2204460492503131e-16,-52.000000000000,13.123151432774,5.032739018847
151,static,12,1.7484730789138167e-18,-58.988610124815,95,1.6543612251060553e-24,-79.000000000000,20.011389875185,5.032739018847
151,static,16,1.6390618313763956e-24,-79.013403998126,95,1.2325951644078309e-32,-106.000000000000,26.986596001874,5.032739018847
151,position_only,4,1.9483268260955811e-06,-18.969332863753,97,7.4505805969238281e-09,-27.000000000000,8.030667136247,5.006123350784
151,position_only,8,1.8787194022706899e-12,-38.953387530742,97,5.5511151231257827e-17,-54.000000000000,15.046612469258,5.006123350784
151,position_only,12,1.7548761289392248e-18,-58.983336509051,97,4.1359030627651384e-25,-81.000000000000,22.016663490949,5.006123350784
151,position_only,16,1.6080137346684791e-24,-79.040994548110,97,3.0814879110195774e-33,-108.000000000000,28.959005451890,5.006123350784
151,rotor,4,3.0808150768280029e-06,-18.308256480829,97,1.4901161193847656e-08,-26.000000000000,7.691743519171,4.999390874486
151,rotor,8,2.7609026176378393e-12,-38.397997136463,97,1.1102230246251565e-16,-53.000000000000,14.602002863537,4.999390874486
