context_index,variant,period_rounds,spectral_decay_bits_per_round,period_perron_factor,iterations
193,round_only,16,4.941236690170,1.5872036346608422e-24,10
194,static,16,4.984234010553,9.8522839184907716e-25,10
194,position_only,16,4.972137908246,1.1266721329700208e-24,11
194,rotor,16,4.972653959641,1.120242387663923e-24,10
194,round_only,16,4.968987533108,1.1667324347440262e-24,11
195,static,16,5.010848670612,7.3341188355563575e-25,10
195,position_only,16,5.032563944392,5.7644352101145094e-25,11
195,rotor,16,5.001352601975,8.1486481646857756e-25,11
195,round_only,16,5.007457085171,7.6152373840018387e-25,11
196,static,16,4.981019746308,1.0209826402891142e-24,10
196,position_only,16,5.019056711916,6.6959788989565613e-25,11
196,rotor,16,4.992722987451,8.9670570284212209e-25,10
196,round_only,16,4.994878922020,8.755196871820148e-25,12
197,static,16,4.921694359431,1.9713234727709855e-24,10
197,position_only,16,4.971301512323,1.1371716833647249e-24,9
197,rotor,16,4.954116167934,1.3759381210524247e-24,9
197,round_only,16,4.957563440665,1.3243268470072013e-24,10
198,static,16,4.903621357556,2.4088299591554778e-24,12
198,position_only,16,4.950298227722,1.4354495569194479e-24,11
198,rotor,16,4.968117171605,1.1780489864938623e-24,13
198,round_only,16,4.969120447002,1.1650138654562419e-24,10
199,static,16,4.993604386264,8.8798308297367105e-25,10
199,position_only,16,4.984360647317,9.8384566233802301e-25,12
199,rotor,16,4.996770778779,8.5734145978861151e-25,10
199,round_only,16,4.995766963228,8.6693928552553915e-25,11
200,static,16,4.860466426147,3.8874158851548369e-24,10
200,position_only,16,4.966889175856,1.1942024748045782e-24,9
200,rotor,16,4.914897839467,2.1256570385290408e-24,9
