context_index,variant,mean_one_step_retention_probability,neglog2_mean_one_step_retention,distinct_sbox_input_differences_over_16_rounds
123,rotor,0.0313720703125,4.994375450806,186
123,round_only,0.0313720703125,4.994375450806,186
124,static,0.031494140625,4.988772744577,97
124,position_only,0.0302734375,5.045803689613,100
124,rotor,0.0311737060546875,5.003526511267,195
124,round_only,0.0311737060546875,5.003526511267,195
125,static,0.03167724609375,4.980409271642,96
125,position_only,0.03118896484375,5.002820519062,90
125,rotor,0.03155517578125,4.985979529685,192
125,round_only,0.03155517578125,4.985979529685,192
126,static,0.03131103515625,4.997184984393,101
126,position_only,0.03167724609375,4.980409271642,94
126,rotor,0.0317840576171875,4.975552875959,200
126,round_only,0.0317840576171875,4.975552875959,200
127,static,0.03326416015625,4.909887580336,99
127,position_only,0.03143310546875,4.991571377929,98
127,rotor,0.0324249267578125,4.946752874088,195
127,round_only,0.0324249267578125,4.946752874088,195
128,static,0.0321044921875,4.961081010708,94
128,position_only,0.03118896484375,5.002820519062,94
128,rotor,0.0315399169921875,4.986677326575,192
128,round_only,0.0315399169921875,4.986677326575,192
129,static,0.03179931640625,4.974860437721,101
129,position_only,0.03204345703125,4.963826387447,98
129,rotor,0.031646728515625,4.981799821187,193
129,round_only,0.031646728515625,4.981799821187,193
130,static,0.03118896484375,5.002820519062,92
130,position_only,0.0318603515625,4.972094003430,98
130,rotor,0.032012939453125,4.965201037423,196
130,round_only,0.032012939453125,4.965201037423,196
131,static,0.03125,5.000000000000,96
131,position_only,0.03143310546875,4.991571377929,93
131,rotor,0.0306396484375,5.028456446049,195
131,round_only,0.0306396484375,5.028456446049,195
132,static,0.0306396484375,5.028456446049,103
132,position_only,0.0302734375,5.045803689613,92
132,rotor,0.0308990478515625,5.016293807341,202
132,round_only,0.0308990478515625,5.016293807341,202
133,static,0.02935791015625,5.090106916230,99
133,position_only,0.03167724609375,4.980409271642,97
133,rotor,0.03106689453125,5.008478153924,198
133,round_only,0.03106689453125,5.008478153924,198
134,static,0.031005859375,5.011315313228,98
134,position_only,0.03253173828125,4.942008277241,98
134,rotor,0.0318145751953125,4.974168331668,200
134,round_only,0.0318145751953125,4.974168331668,200
135,static,0.0311279296875,5.005646563141,94
135,position_only,0.03228759765625,4.952876087886,92
135,rotor,0.0317840576171875,4.975552875959,200
135,round_only,0.0317840576171875,4.975552875959,200
136,static,0.0313720703125,4.994375450806,101
136,position_only,0.03179931640625,4.974860437721,92
136,rotor,0.031982421875,4.966576998463,205
136,round_only,0.031982421875,4.966576998463,205
137,static,0.03125,5.000000000000,103
137,position_only,0.0316162109375,4.983191712313,102
137,rotor,0.0313720703125,4.994375450806,193
137,round_only,0.0313720703125,4.994375450806,193
138,static,0.03131103515625,4.997184984393,95
138,position_only,0.03106689453125,5.008478153924,100
138,rotor,0.0306854248046875,5.026302633695,189
138,round_only,0.0306854248046875,5.026302633695,189
139,static,0.02978515625,5.069262662437,100
139,position_only,0.03076171875,5.022720076500,101
